Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount %,Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1010,26/11/2023,03/12/2023,CUST976,Mary Whitehead,Home office,PROD6561,Mouse,Electronics,South,Connecticut,Alexanderton,3,4622,10,12479.4,9378.69,3100.71,UPI,Returned,Martin-Alvarez,luisturner@smith.biz,17,No,0
ORD1011,22/01/2024,24/01/2024,CUST193,Kathleen Jordan,Home office,PROD3567,Juice packs,Grocery,North,South Carolina,Foxshire,4,4103,5,15591.4,13876.46,1714.94,UPI,Returned,Ross-Norris,joshua51@horne-flores.biz,45,No,0
ORD1012,24/07/2024,29/07/2024,CUST442,Travis Gonzalez,Consumer,PROD2130,Chair,Furniture,South,Nevada,North Sarahton,2,2285,5,4341.5,3075.46,1266.04,Credit card,Returned,"Burch, Meyer and Jones",schwartzarthur@wallace.biz,43,No,0
ORD1013,11/06/2024,18/06/2024,CUST699,Jeffrey Williamson,Consumer,PROD7805,Stamp,Office Supplies,North,South Dakota,Port Nancyburgh,8,1411,5,10723.6,8458.05,2265.55,Pay check,Pending,Hall Ltd,johnsonjerry@mueller-watkins.com,44,No,0
ORD1014,15/01/2024,20/01/2024,CUST857,Henry Franklin,Consumer,PROD3364,Stapler,Office Supplies,South,Virginia,Port Chaseberg,2,3383,20,5412.8,4683.02,729.78,Cash,Returned,Holden-Ellis,matthew13@lowery.com,31,No,0
ORD1015,24/10/2025,27/10/2025,CUST189,William Moore,Corporate,PROD9570,File Folder,Office Supplies,East,Wisconsin,East Josephstad,8,4017,5,30529.2,21791.6,8737.6,Credit card,Cancelled,Douglas LLC,bortiz@gonzales.com,7,Yes,42
ORD1016,06/05/2024,13/05/2024,CUST219,Adam Montgomery,Home office,PROD5246,Cold drinks,Grocery,North,New Jersey,Lake Jenniferbury,5,2329,0,11645,9226.53,2418.47,Cash,Delivered,Harper Group,csantiago@andrews-peters.net,37,No,0
ORD1017,05/01/2024,08/01/2024,CUST764,Allen James,Corporate,PROD2485,Calculator,Office Supplies,South,Virginia,North Bryan,3,3324,0,9972,8045.31,1926.69,UPI,Returned,Romero-Smith,brianramos@simmons-rhodes.com,37,No,0
ORD1018,01/05/2024,02/05/2024,CUST726,Bobby Castillo,Home office,PROD7488,Chips,Grocery,South,South Dakota,East John,4,2541,0,10164,8446.51,1717.49,UPI,Delivered,Briggs-Sims,valeriearnold@lawson.org,25,No,0
ORD1019,29/06/2025,30/06/2025,CUST344,Christina Ochoa MD,Corporate,PROD6710,Cupboard,Furniture,North,Minnesota,Matthewmouth,10,2320,5,22040,17873.63,4166.37,Pay check,Returned,Smith-Pierce,qharper@harmon.com,17,No,0
ORD1020,11/04/2024,12/04/2024,CUST815,Robert Chung,Corporate,PROD7151,Stamp,Office Supplies,West,Georgia,Thomastown,8,4485,10,32292,25402.93,6889.07,UPI,Returned,White Group,michael88@snyder.org,47,No,0
ORD1021,23/02/2024,25/02/2024,CUST257,David Sharp,Corporate,PROD7895,Chocolate,Grocery,East,Georgia,Bobbyhaven,3,4663,10,12590.1,9594.53,2995.57,UPI,Pending,Rubio-Collins,yvonne21@edwards.com,13,No,0
ORD1022,19/11/2024,25/11/2024,CUST887,Joann Gray,Corporate,PROD1384,Chair,Furniture,South,Minnesota,Dannyfort,10,3521,10,31689,23007.82,8681.18,Cash,Cancelled,Harmon-Caldwell,wjames@clark-phillips.com,25,No,0
ORD1023,30/09/2024,07/10/2024,CUST683,Kaitlin Miller,Home office,PROD6827,Bed,Furniture,North,New Mexico,Lake Jennifer,4,4615,0,18460,11486.95,6973.05,Credit card,Delivered,"Newton, Travis and Garrison",ojuarez@arnold.com,28,No,0
ORD1024,08/11/2024,14/11/2024,CUST623,John Miller,Corporate,PROD2360,Juice packs,Grocery,West,North Dakota,Phillipston,6,2973,20,14270.4,9717.97,4552.43,Cash,Returned,Cohen Ltd,simontammy@gonzalez.net,36,No,0
ORD1025,30/07/2025,05/08/2025,CUST946,Peter Johnson,Corporate,PROD4657,Keyboard,Electronics,West,Nebraska,Penafort,4,192,5,729.6,453.1,276.5,Cash,Returned,"Reese, Rojas and Santana",atkinselizabeth@mckenzie.com,23,No,0
ORD1026,21/10/2024,23/10/2024,CUST110,Austin Campbell,Corporate,PROD2524,Monitor,Electronics,South,Mississippi,Danielport,5,4313,0,21565,13769.71,7795.29,Credit card,Cancelled,Garza-Delacruz,fbuchanan@taylor.com,40,No,0
ORD1027,17/10/2024,18/10/2024,CUST139,Jacqueline Silva,Consumer,PROD6506,Notebook,Office Supplies,South,West Virginia,Jacobmouth,4,417,5,1584.6,1185.51,399.09,Credit card,Pending,Nolan-Rubio,reyesparker@gardner.info,30,No,0
ORD1028,05/05/2024,06/05/2024,CUST825,Scott Horn,Consumer,PROD3395,Stapler,Office Supplies,West,Iowa,Perezland,9,617,15,4720.05,3551.97,1168.08,Cash,Pending,Hill-Patterson,kgriffith@lloyd-hall.com,32,No,0
ORD1029,20/02/2024,21/02/2024,CUST859,Charles Young,Consumer,PROD7686,Calculator,Office Supplies,West,North Dakota,Nealfort,4,1513,15,5144.2,3426.05,1718.15,Credit card,Pending,"King, Green and Page",garciathomas@elliott.info,44,No,0
ORD1030,16/03/2025,23/03/2025,CUST878,Stephanie Reid,Corporate,PROD5032,Chips,Grocery,South,Oregon,Meganfort,9,744,0,6696,4514.99,2181.01,UPI,Returned,"Ruiz, Rosario and Rivera",davisscott@walker-arnold.biz,7,Yes,31
ORD1031,09/01/2025,14/01/2025,CUST421,Steven Aguilar,Home office,PROD8949,Stamp,Office Supplies,North,Idaho,Peggyland,9,457,20,3290.4,2146.03,1144.37,Pay check,Delivered,Ali-Parker,jessica53@roy.org,27,No,0
ORD1032,13/11/2025,18/11/2025,CUST718,Cheryl Young MD,Consumer,PROD2622,Headphones,Electronics,East,Nebraska,Port Theresamouth,1,590,20,472,327.78,144.22,Cash,Delivered,Blackwell LLC,plynch@acevedo.org,43,No,0
ORD1033,26/06/2024,30/06/2024,CUST839,Ashley Miller,Corporate,PROD9212,Table,Furniture,South,Nevada,Johnview,3,4634,10,12511.8,8780.67,3731.13,Credit card,Returned,"Jones, Scott and Golden",cody39@harris.biz,46,No,0
ORD1034,10/02/2024,13/02/2024,CUST474,Jacob Nichols,Corporate,PROD6353,File Folder,Office Supplies,South,Iowa,Lozanoville,6,1728,20,8294.4,5025.85,3268.55,Cash,Returned,Davis-Nelson,josephkevin@holt.org,46,No,0
ORD1035,24/01/2025,26/01/2025,CUST453,Natalie Carter,Consumer,PROD1093,Juice packs,Grocery,West,Wisconsin,West Michaelport,5,2229,15,9473.25,6144.47,3328.78,UPI,Delivered,Thompson LLC,randallcarter@nelson-gaines.com,21,No,0
ORD1036,27/02/2024,01/03/2024,CUST477,Jordan Gonzalez,Home office,PROD2480,Chair,Furniture,East,Arizona,Port Tonya,6,4508,0,27048,19959.02,7088.98,Pay check,Returned,Dyer-Roy,adamsronnie@short.biz,18,No,0
ORD1037,03/09/2024,04/09/2024,CUST853,Wesley Thomas,Consumer,PROD9797,Stamp,Office Supplies,West,Mississippi,New Phillipborough,9,746,10,6042.6,4768.88,1273.72,UPI,Returned,Banks-Lee,snorman@hebert.biz,11,No,0
ORD1038,12/02/2025,13/02/2025,CUST173,Emily Greene,Corporate,PROD6866,Chair,Furniture,South,Utah,Danaview,9,4400,0,39600,33686.85,5913.15,Pay check,Cancelled,Ball Group,brettthomas@cardenas.com,7,Yes,20
ORD1039,30/09/2024,07/10/2024,CUST363,Claudia Greene,Home office,PROD5594,Stapler,Office Supplies,South,Nebraska,Ortizbury,3,1062,10,2867.4,1862.83,1004.57,Pay check,Cancelled,Martinez-Miller,stephen23@beard-garcia.com,23,No,0
ORD1040,22/03/2024,26/03/2024,CUST702,Nancy Williams,Home office,PROD5877,Cold drinks,Grocery,South,Georgia,Andersonmouth,8,3858,0,30864,24439.9,6424.1,Credit card,Pending,Gilbert Ltd,mark64@jones.com,41,No,0
ORD1041,29/03/2025,03/04/2025,CUST931,Sally Stephens,Corporate,PROD1750,Keyboard,Electronics,West,Oklahoma,North Evelynhaven,8,3444,15,23419.2,19580.89,3838.31,Cash,Returned,"Thomas, Lin and Aguilar",mitchellshannon@macias-olson.com,8,Yes,34
ORD1042,30/12/2023,01/01/2024,CUST202,Kimberly Pineda,Home office,PROD4879,Monitor,Electronics,East,Massachusetts,New Timothymouth,6,549,0,3294,2191.44,1102.56,Cash,Delivered,Dunn-Cook,courtneyrodriguez@green-henson.com,44,No,0
ORD1043,26/10/2024,30/10/2024,CUST334,Adam Carpenter,Corporate,PROD7389,Table,Furniture,South,West Virginia,Christopherhaven,8,2150,0,17200,14052.74,3147.26,Pay check,Pending,Dixon-Thompson,gwatson@anderson-richardson.org,34,No,0
ORD1044,23/05/2025,29/05/2025,CUST964,Kimberly Glenn,Corporate,PROD9075,Protein,Grocery,West,Ohio,Delgadomouth,5,1031,10,4639.5,4057.27,582.23,Credit card,Delivered,Cowan-Martinez,amanda97@simpson.biz,13,No,0
ORD1045,30/07/2024,06/08/2024,CUST666,Barbara Hart,Corporate,PROD1095,Stamp,Office Supplies,South,Colorado,Emmabury,5,2240,5,10640,6941.49,3698.51,Cash,Delivered,"Valenzuela, Williams and Lawson",mejiadawn@franklin.biz,30,No,0
ORD1046,28/07/2024,04/08/2024,CUST183,Zachary Spencer,Home office,PROD6221,Chair,Furniture,South,Massachusetts,Lake Angela,9,2638,0,23742,15045.9,8696.1,Credit card,Cancelled,Boyd-Stevens,anna25@cooper-mcguire.org,10,No,0
ORD1047,07/06/2025,14/06/2025,CUST810,Shannon Allen MD,Corporate,PROD5648,Cold drinks,Grocery,North,Washington,North Deanside,6,874,0,5244,3932.26,1311.74,Cash,Returned,Miller-Christian,gpeterson@baker-lopez.com,8,Yes,42
ORD1048,29/04/2024,06/05/2024,CUST113,Lisa Robinson,Corporate,PROD8468,Calculator,Office Supplies,West,Oklahoma,East Paula,5,1216,0,6080,5381.95,698.05,Pay check,Returned,Davenport-Sherman,holly17@hogan.com,35,No,0
ORD1049,01/04/2024,03/04/2024,CUST864,Matthew Johnson,Consumer,PROD4553,Juice packs,Grocery,North,Illinois,Lake Christopher,1,112,20,89.6,62.3,27.3,UPI,Pending,"Ruiz, Allen and Chan",alexanderthompson@davis.com,39,No,0
ORD1050,30/04/2024,06/05/2024,CUST286,Daniel Williams,Home office,PROD4840,Chocolate,Grocery,East,North Carolina,Grimeschester,10,2117,10,19053,14999.23,4053.77,Pay check,Pending,"Stephens, Christensen and Riley",thomas29@smith-howell.com,0,Yes,42
ORD1051,16/02/2024,20/02/2024,CUST475,Jeffrey Nixon,Consumer,PROD9279,Pen,Office Supplies,South,Montana,East Tonystad,2,4475,10,8055,5244.18,2810.82,Credit card,Returned,"Clark, Goodwin and Clark",larsonmichael@fuller.biz,43,No,0
ORD1052,18/04/2025,19/04/2025,CUST135,Luke Sellers DDS,Consumer,PROD1206,Headphones,Electronics,East,Idaho,Lake Patricia,1,1657,15,1408.45,1093.25,315.2,Pay check,Pending,"Campbell, Jones and Rogers",lbaker@walker.org,46,No,0
ORD1053,02/06/2025,05/06/2025,CUST399,Kimberly Johnson,Home office,PROD3748,Chair,Furniture,West,Kentucky,West Brianberg,9,3935,5,33644.25,20486.5,13157.75,Cash,Delivered,Nicholson-Brown,palmerderek@erickson.net,49,No,0
ORD1054,04/01/2025,08/01/2025,CUST985,Valerie Odom,Corporate,PROD3847,Stamp,Office Supplies,West,Oklahoma,Brianview,3,2199,0,6597,5487.1,1109.9,Cash,Pending,Wall-Graham,antoniowalters@jones.com,45,No,0
ORD1055,02/12/2024,07/12/2024,CUST459,Brenda Perez,Consumer,PROD1537,Notebook,Office Supplies,South,New Jersey,Port Ravenberg,1,1342,10,1207.8,923.87,283.93,Cash,Returned,Kim-Mendez,davisthomas@miller-macias.com,27,No,0
ORD1056,10/04/2024,12/04/2024,CUST410,Joanne Thompson,Consumer,PROD7165,Bed,Furniture,South,Connecticut,East Christopher,6,3942,15,20104.2,12269.98,7834.22,Pay check,Returned,Gardner-Larson,jenniferwilliams@beltran.info,15,No,0
ORD1057,24/07/2024,29/07/2024,CUST160,Paula Thompson,Home office,PROD6004,Cold drinks,Grocery,South,Texas,Richardsville,4,3156,5,11992.8,8131.47,3861.33,Credit card,Pending,Matthews-Hernandez,kmorris@obrien.com,26,No,0
ORD1058,01/11/2024,05/11/2024,CUST374,Jennifer Lane,Consumer,PROD5715,Table,Furniture,North,Virginia,Bettyview,9,2461,15,18826.65,16557.3,2269.35,Pay check,Delivered,Davis Inc,edwin41@porter.info,37,No,0
ORD1059,04/10/2025,09/10/2025,CUST719,Lauren Phillips,Consumer,PROD6728,Pen,Office Supplies,West,Oklahoma,Ramirezburgh,6,3569,10,19272.6,14316.8,4955.8,Pay check,Delivered,Ramos LLC,brewerjessica@brown.com,25,No,0
ORD1060,08/03/2025,15/03/2025,CUST177,Richard Schmidt,Consumer,PROD2717,Juice packs,Grocery,West,Maine,South Nicholasstad,7,3114,20,17438.4,11267.85,6170.55,Credit card,Delivered,Arias-Ramos,walkerchristopher@neal.com,7,Yes,34
ORD1061,15/03/2024,22/03/2024,CUST479,Cody Jones,Consumer,PROD7594,Chocolate,Grocery,West,Virginia,East Sergioside,7,738,0,5166,3299.4,1866.6,Credit card,Delivered,Mills Ltd,madison90@howard.com,6,Yes,45
ORD1062,15/07/2024,21/07/2024,CUST907,Paul Goodwin,Consumer,PROD4007,Chair,Furniture,West,Arkansas,Patrickfurt,1,1450,0,1450,1053.95,396.05,Pay check,Returned,"Webster, Murphy and Potts",sarasmith@duran-herring.info,41,No,0
ORD1063,08/01/2024,09/01/2024,CUST599,Mary Thompson,Home office,PROD1010,Notebook,Office Supplies,East,New Mexico,West Rebeccaburgh,10,3094,10,27846,19582.73,8263.27,Pay check,Cancelled,Barr Inc,tammypalmer@jones.net,48,No,0
ORD1064,04/07/2024,07/07/2024,CUST526,Joshua Long,Corporate,PROD7554,Charger,Electronics,East,Indiana,Lake Ryan,6,4089,5,23307.3,19050.91,4256.39,UPI,Cancelled,Powell Ltd,andrewbrown@smith.com,31,No,0
ORD1065,12/12/2023,15/12/2023,CUST640,Micheal Mccormick,Corporate,PROD4283,Charger,Electronics,West,Georgia,South Joelbury,3,1232,20,2956.8,2191.32,765.48,Cash,Cancelled,"Brown, Martin and Munoz",okline@williams.com,44,No,0
ORD1066,04/10/2024,10/10/2024,CUST156,Timothy Coleman,Home office,PROD7100,Bed,Furniture,East,Maryland,South Kristenburgh,10,255,0,2550,2094.8,455.2,Credit card,Delivered,Schwartz PLC,djones@villarreal-tanner.com,29,No,0
ORD1067,14/07/2024,21/07/2024,CUST867,Deanna Alvarez,Home office,PROD2647,Cold drinks,Grocery,West,West Virginia,North Erica,1,3658,20,2926.4,2466.33,460.07,Credit card,Cancelled,"Nelson, Gilmore and Ortega",phillipdominguez@adams.com,30,No,0
ORD1068,23/10/2024,28/10/2024,CUST866,Ronald Bond,Consumer,PROD2994,Laptop,Electronics,North,Utah,North Leahville,2,748,10,1346.4,1164.23,182.17,Pay check,Pending,"Perry, Johnson and Johnson",parellano@ellis-cobb.com,0,Yes,42
ORD1069,09/02/2025,13/02/2025,CUST257,Adam Martinez,Consumer,PROD4844,Pen,Office Supplies,North,Illinois,Navarrohaven,6,3972,0,23832,20738.52,3093.48,Credit card,Delivered,Villanueva-Roberts,tammy40@mccormick-johnson.com,46,No,0
ORD1070,27/02/2024,04/03/2024,CUST349,Tyler Ingram,Corporate,PROD5717,Protein,Grocery,East,Delaware,East Robert,10,1897,20,15176,11015.79,4160.21,Credit card,Pending,Martin Group,ehubbard@wagner-burke.org,41,No,0
ORD1071,25/04/2024,27/04/2024,CUST390,Scott Melton,Corporate,PROD4488,Chips,Grocery,North,Florida,Shawton,7,710,10,4473,3310.98,1162.02,UPI,Cancelled,Gomez and Sons,wrightmary@davis.net,27,No,0
ORD1072,14/07/2024,20/07/2024,CUST851,Nicholas Hartman,Corporate,PROD9446,Sofa,Furniture,West,Massachusetts,East Lisa,3,3382,10,9131.4,5761.61,3369.79,Pay check,Delivered,Melton-Ortiz,jacquelineblake@martinez.com,49,No,0
ORD1073,12/10/2025,19/10/2025,CUST642,Mathew Noble,Consumer,PROD7823,Headphones,Electronics,West,Virginia,South Michaelport,3,1729,0,5187,3720.88,1466.12,Credit card,Delivered,"Montgomery, Ayala and Shields",nancyingram@lane.com,7,Yes,23
ORD1074,02/11/2024,09/11/2024,CUST785,Daniel Miller,Consumer,PROD1348,Kettle,Electronics,East,Utah,Pearsonview,2,4772,15,8112.4,5065.55,3046.85,Credit card,Cancelled,Johnson-Paul,jennakhan@hoffman.biz,8,Yes,50
ORD1075,13/12/2024,18/12/2024,CUST870,Justin Mclaughlin,Corporate,PROD7971,Calculator,Office Supplies,West,South Carolina,Maxwellside,2,995,20,1592,1286.53,305.47,Cash,Pending,"Fleming, Ingram and Jackson",martinbenjamin@bennett.com,35,No,0
ORD1076,15/08/2024,18/08/2024,CUST961,Jeremy Jones,Consumer,PROD3117,Calculator,Office Supplies,South,Arkansas,Lake Mary,5,3586,0,17930,14923.41,3006.59,UPI,Returned,Rodriguez Group,barberrachel@charles.org,33,No,0
ORD1077,18/09/2025,19/09/2025,CUST382,Lindsey Marsh,Home office,PROD3766,Monitor,Electronics,North,Massachusetts,Kennethstad,8,2011,0,16088,13463.08,2624.92,UPI,Delivered,Irwin-Webb,sharpmichelle@howard.org,23,No,0
ORD1078,19/02/2025,26/02/2025,CUST979,Kristen Ford,Corporate,PROD9401,Chair,Furniture,North,North Carolina,Christophershire,5,4174,10,18783,13811.34,4971.66,UPI,Cancelled,Kemp Ltd,christopher21@harris.biz,29,No,0
ORD1079,20/12/2024,22/12/2024,CUST943,Dr. Natalie Holland,Consumer,PROD7273,Chips,Grocery,South,New Jersey,Powellside,7,3667,15,21818.65,18374.91,3443.74,Cash,Cancelled,"Garcia, Bailey and Sanders",stefanie94@brown-ruiz.com,31,No,0
ORD1080,27/09/2024,02/10/2024,CUST808,Christopher Cantrell,Home office,PROD2860,Laptop,Electronics,East,South Dakota,Davidstad,1,3130,0,3130,2557.89,572.11,Pay check,Cancelled,Walton-Osborne,kimberlynixon@david.info,6,Yes,26
ORD1081,27/07/2025,28/07/2025,CUST247,Lisa Barrera,Home office,PROD9653,Notebook,Office Supplies,North,West Virginia,Port Patriciahaven,4,4758,15,16177.2,12727.19,3450.01,Pay check,Pending,Carpenter-Savage,cgeorge@morrow.com,24,No,0
ORD1082,07/05/2024,09/05/2024,CUST829,Antonio Perez,Corporate,PROD7053,Kettle,Electronics,West,Arizona,East Joshuaport,4,2410,15,8194,5875.25,2318.75,Credit card,Delivered,"Long, Nicholson and Miller",dylanweber@king.com,24,No,0
ORD1083,12/11/2025,17/11/2025,CUST308,Dale Hernandez,Consumer,PROD3001,Chair,Furniture,East,Florida,Perezfurt,9,2125,0,19125,16543.2,2581.8,Cash,Cancelled,"Randolph, Walsh and Tanner",vgomez@jones-baker.net,31,No,0
ORD1084,04/02/2025,05/02/2025,CUST900,Jesse Griffin,Corporate,PROD3849,Stapler,Office Supplies,East,South Dakota,New Destinymouth,7,2545,10,16033.5,13305.07,2728.43,Cash,Cancelled,Sandoval-Taylor,eallen@graham.com,24,No,0
ORD1085,14/06/2024,17/06/2024,CUST546,Yesenia Kelly,Home office,PROD7372,Mouse,Electronics,East,Florida,Lake Tim,9,800,5,6840,4680.56,2159.44,UPI,Delivered,"Robinson, Davis and Wood",rjordan@dixon.com,35,No,0
ORD1086,05/10/2024,10/10/2024,CUST100,Jason Singleton,Corporate,PROD4155,Maggi,Grocery,North,California,Port Latashahaven,5,1482,15,6298.5,5085.66,1212.84,Credit card,Cancelled,"Johnson, Ellis and Smith",philip57@newman-ellis.com,44,No,0
ORD1087,17/11/2025,18/11/2025,CUST583,Theresa Montgomery,Home office,PROD1497,Sofa,Furniture,South,Michigan,Lake Mark,4,3840,15,13056,10527.66,2528.34,UPI,Pending,"Delgado, Newman and Moss",william21@fernandez.com,39,No,0
ORD1088,22/01/2024,24/01/2024,CUST725,Craig Vance,Consumer,PROD8842,Dining table,Furniture,East,Louisiana,Ortegaville,8,4956,15,33700.8,28929.79,4771.01,UPI,Cancelled,"Hoffman, Cruz and Mitchell",daniel12@hardin.org,41,No,0
ORD1089,28/12/2023,31/12/2023,CUST293,Victoria Horn,Consumer,PROD9328,Monitor,Electronics,North,Missouri,Port Brent,9,4458,10,36109.8,26457.71,9652.09,UPI,Delivered,"Allison, Romero and Warren",alvarezrachel@hoffman-johnson.com,50,No,0
ORD1090,10/09/2024,15/09/2024,CUST398,Mrs. Kristen Smith,Home office,PROD8109,Pen,Office Supplies,East,Illinois,East Katherinemouth,8,3273,5,24874.8,17905.88,6968.92,Cash,Cancelled,Velez-Cox,david38@marquez-olsen.biz,33,No,0
ORD1091,04/03/2025,06/03/2025,CUST503,Diana Phillips DVM,Home office,PROD4930,Stamp,Office Supplies,South,North Carolina,New Dawnbury,2,3586,5,6813.4,5691.26,1122.14,UPI,Cancelled,Sawyer-Buckley,kathrynjohnson@cunningham.com,7,Yes,26
ORD1092,25/02/2024,01/03/2024,CUST926,William Klein,Consumer,PROD8538,Keyboard,Electronics,South,Montana,Jacksonview,6,1778,0,10668,8647.62,2020.38,Credit card,Returned,Allen and Sons,howardtyler@rodriguez-mitchell.biz,3,Yes,48
ORD1093,15/11/2024,21/11/2024,CUST850,Tanya Garrison,Home office,PROD3260,Pen,Office Supplies,South,Oregon,Lake Staceyview,9,4347,5,37166.85,24442.28,12724.57,Cash,Cancelled,Guerrero LLC,mhahn@james-weaver.info,44,No,0
ORD1094,26/11/2023,03/12/2023,CUST891,Kathleen Evans,Corporate,PROD9211,Maggi,Grocery,North,Kansas,Michelleborough,6,4694,10,25347.6,16708.1,8639.5,Cash,Cancelled,Wheeler-Russell,sandra08@murray-long.org,28,No,0
ORD1095,25/05/2024,27/05/2024,CUST368,Brittany Griffin,Consumer,PROD3064,Calculator,Office Supplies,North,Arkansas,East Jenniferberg,5,1918,15,8151.5,6049.51,2101.99,Cash,Delivered,Smith-Hubbard,kingdaniel@sampson-fox.com,29,No,0
ORD1096,16/03/2024,23/03/2024,CUST131,Christine Gates,Consumer,PROD1846,Headphones,Electronics,North,Rhode Island,Adamsfurt,1,3349,20,2679.2,2357.29,321.91,Cash,Delivered,Gibson-Gonzales,qrivera@mendez.com,41,No,0
ORD1097,28/10/2025,31/10/2025,CUST862,Judith Barajas,Home office,PROD2676,Chair,Furniture,West,Hawaii,Albertville,4,2204,5,8375.2,6636.14,1739.06,Pay check,Pending,"Hahn, Dalton and Ball",elizabethvincent@lopez.com,31,No,0
ORD1098,12/06/2025,13/06/2025,CUST736,Eugene Hale,Home office,PROD7851,Headphones,Electronics,West,Oregon,Michaelborough,6,155,10,837,556.05,280.95,UPI,Returned,Bennett-Lane,robertcampbell@thomas-chandler.com,24,No,0
ORD1099,14/01/2024,18/01/2024,CUST348,James Hall,Consumer,PROD8399,Notebook,Office Supplies,East,North Carolina,Phillipstown,1,1052,5,999.4,846.23,153.17,UPI,Pending,Perez-Arnold,wallerjoel@gutierrez-spencer.com,17,No,0
ORD1100,28/08/2024,30/08/2024,CUST997,Susan George,Home office,PROD9930,Notebook,Office Supplies,West,Nevada,Morganstad,6,1472,20,7065.6,5359.7,1705.9,UPI,Cancelled,Hunter LLC,ohorton@kaufman.com,32,No,0
ORD1101,04/01/2025,11/01/2025,CUST402,David Shelton,Home office,PROD5275,Stamp,Office Supplies,East,Indiana,East Kaylaside,4,691,20,2211.2,1792.53,418.67,Pay check,Pending,Vasquez Inc,rhoward@lloyd-abbott.org,32,No,0
ORD1102,26/10/2024,31/10/2024,CUST819,Eric Hammond,Corporate,PROD7374,Cold drinks,Grocery,North,North Dakota,Port Lisa,3,3040,15,7752,5901.33,1850.67,Cash,Delivered,"Morgan, Jones and Nunez",stevenlloyd@young.com,42,No,0
ORD1103,29/01/2024,31/01/2024,CUST130,Derek Harrison,Corporate,PROD8750,Cold drinks,Grocery,East,Kansas,Williamsfurt,7,2874,15,17100.3,10699.72,6400.58,UPI,Cancelled,Myers Ltd,jodytaylor@powers.info,46,No,0
ORD1104,31/05/2024,06/06/2024,CUST818,Lori Boyd,Consumer,PROD6069,Dining table,Furniture,North,Tennessee,Port Christophermouth,3,1995,20,4788,3085.37,1702.63,Credit card,Returned,"Conrad, Gaines and Reynolds",tonyahale@silva-stewart.com,33,No,0
ORD1105,19/08/2025,21/08/2025,CUST470,Marcus Gallegos,Corporate,PROD1715,Laptop,Electronics,East,Vermont,Jessicafurt,9,2406,20,17323.2,14998.09,2325.11,Pay check,Delivered,Nelson-Nelson,usanchez@glass-garcia.com,29,No,0
